Dödsorsaksstatistik, Antal döda, X60-X84 Avsiktligt självdestruktiv handling (självmord), Riket, Ålder: 0-95+
År;Kön;Ålder;Antal döda
2020;Män;0­4;­­
2020;Män;5­9;­­
2020;Män;10­14;3
2020;Män;15­19;33
2020;Män;20­24;59
2020;Män;25­29;80
2020;Män;30­34;64
2020;Män;35­39;47
2020;Män;40­44;53
2020;Män;45­49;68
2020;Män;50­54;81
2020;Män;55­59;72
2020;Män;60­64;69
2020;Män;65­69;49
2020;Män;70­74;46
2020;Män;75­79;39
2020;Män;80­84;37
2020;Män;85­89;32
2020;Män;90­94;8
2020;Män;95+;2
2020;Kvinnor;0­4;­­
2020;Kvinnor;5­9;­­
2020;Kvinnor;10­14;3
2020;Kvinnor;15­19;10
2020;Kvinnor;20­24;22
2020;Kvinnor;25­29;27
2020;Kvinnor;30­34;16
2020;Kvinnor;35­39;33
2020;Kvinnor;40­44;21
2020;Kvinnor;45­49;34
2020;Kvinnor;50­54;29
2020;Kvinnor;55­59;31
2020;Kvinnor;60­64;23
2020;Kvinnor;65­69;27
2020;Kvinnor;70­74;19
2020;Kvinnor;75­79;16
2020;Kvinnor;80­84;9
2020;Kvinnor;85­89;5
2020;Kvinnor;90­94;1
2020;Kvinnor;95+;­­
2019;Män;0­4;­­
2019;Män;5­9;­­
2019;Män;10­14;4
2019;Män;15­19;31
2019;Män;20­24;60
2019;Män;25­29;78
2019;Män;30­34;63
2019;Män;35­39;58
2019;Män;40­44;64
2019;Män;45­49;63
2019;Män;50­54;74
2019;Män;55­59;81
2019;Män;60­64;56
2019;Män;65­69;62
2019;Män;70­74;62
2019;Män;75­79;50
2019;Män;80­84;36
2019;Män;85­89;21
2019;Män;90­94;9
2019;Män;95+;1
2019;Kvinnor;0­4;­­
2019;Kvinnor;5­9;­­
2019;Kvinnor;10­14;1
2019;Kvinnor;15­19;14
2019;Kvinnor;20­24;33
2019;Kvinnor;25­29;45
2019;Kvinnor;30­34;34
2019;Kvinnor;35­39;31
2019;Kvinnor;40­44;27
2019;Kvinnor;45­49;40
2019;Kvinnor;50­54;31
2019;Kvinnor;55­59;36
2019;Kvinnor;60­64;23
2019;Kvinnor;65­69;21
2019;Kvinnor;70­74;18
2019;Kvinnor;75­79;17
2019;Kvinnor;80­84;12
2019;Kvinnor;85­89;7
2019;Kvinnor;90­94;5
2019;Kvinnor;95+;1
2018;Män;0­4;­­
2018;Män;5­9;­­
2018;Män;10­14;5
2018;Män;15­19;23
2018;Män;20­24;66
2018;Män;25­29;72
2018;Män;30­34;77
2018;Män;35­39;58
2018;Män;40­44;67
2018;Män;45­49;52
2018;Män;50­54;85
2018;Män;55­59;81
2018;Män;60­64;73
2018;Män;65­69;60
2018;Män;70­74;62
2018;Män;75­79;39
2018;Män;80­84;29
2018;Män;85­89;28
2018;Män;90­94;10
2018;Män;95+;3
2018;Kvinnor;0­4;­­
2018;Kvinnor;5­9;­­
2018;Kvinnor;10­14;4
2018;Kvinnor;15­19;20
2018;Kvinnor;20­24;29
2018;Kvinnor;25­29;37
2018;Kvinnor;30­34;25
2018;Kvinnor;35­39;16
2018;Kvinnor;40­44;24
2018;Kvinnor;45­49;35
2018;Kvinnor;50­54;35
2018;Kvinnor;55­59;47
2018;Kvinnor;60­64;20
2018;Kvinnor;65­69;26
2018;Kvinnor;70­74;16
2018;Kvinnor;75­79;17
2018;Kvinnor;80­84;17
2018;Kvinnor;85­89;8
2018;Kvinnor;90­94;5
2018;Kvinnor;95+;2
2017;Män;0­4;­­
2017;Män;5­9;­­
2017;Män;10­14;3
2017;Män;15­19;24
2017;Män;20­24;62
2017;Män;25­29;71
2017;Män;30­34;56
2017;Män;35­39;49
2017;Män;40­44;64
2017;Män;45­49;58
2017;Män;50­54;69
2017;Män;55­59;79
2017;Män;60­64;50
2017;Män;65­69;68
2017;Män;70­74;66
2017;Män;75­79;37
2017;Män;80­84;45
2017;Män;85­89;26
2017;Män;90­94;16
2017;Män;95+;1
2017;Kvinnor;0­4;­­
2017;Kvinnor;5­9;­­
2017;Kvinnor;10­14;4
2017;Kvinnor;15­19;15
2017;Kvinnor;20­24;23
2017;Kvinnor;25­29;32
2017;Kvinnor;30­34;28
2017;Kvinnor;35­39;18
2017;Kvinnor;40­44;24
2017;Kvinnor;45­49;26
2017;Kvinnor;50­54;30
2017;Kvinnor;55­59;28
2017;Kvinnor;60­64;35
2017;Kvinnor;65­69;23
2017;Kvinnor;70­74;19
2017;Kvinnor;75­79;10
2017;Kvinnor;80­84;13
2017;Kvinnor;85­89;10
2017;Kvinnor;90­94;9
2017;Kvinnor;95+;3
2016;Män;0­4;­­
2016;Män;5­9;­­
2016;Män;10­14;2
2016;Män;15­19;20
2016;Män;20­24;50
2016;Män;25­29;60
2016;Män;30­34;55
2016;Män;35­39;54
2016;Män;40­44;65
2016;Män;45­49;65
2016;Män;50­54;81
2016;Män;55­59;64
2016;Män;60­64;61
2016;Män;65­69;55
2016;Män;70­74;54
2016;Män;75­79;41
2016;Män;80­84;36
2016;Män;85­89;17
2016;Män;90­94;6
2016;Män;95+;2
2016;Kvinnor;0­4;­­
2016;Kvinnor;5­9;­­
2016;Kvinnor;10­14;3
2016;Kvinnor;15­19;9
2016;Kvinnor;20­24;27
2016;Kvinnor;25­29;24
2016;Kvinnor;30­34;21
2016;Kvinnor;35­39;25
2016;Kvinnor;40­44;23
2016;Kvinnor;45­49;29
2016;Kvinnor;50­54;43
2016;Kvinnor;55­59;25
2016;Kvinnor;60­64;28
2016;Kvinnor;65­69;22
2016;Kvinnor;70­74;29
2016;Kvinnor;75­79;9
2016;Kvinnor;80­84;20
2016;Kvinnor;85­89;11
2016;Kvinnor;90­94;4
2016;Kvinnor;95+;2
2015;Män;0­4;­­
2015;Män;5­9;­­
2015;Män;10­14;3
2015;Män;15­19;20
2015;Män;20­24;48
2015;Män;25­29;67
2015;Män;30­34;41
2015;Män;35­39;47
2015;Män;40­44;63
2015;Män;45­49;81
2015;Män;50­54;97
2015;Män;55­59;94
2015;Män;60­64;66
2015;Män;65­69;63
2015;Män;70­74;48
2015;Män;75­79;44
2015;Män;80­84;33
2015;Män;85­89;24
2015;Män;90­94;12
2015;Män;95+;2
2015;Kvinnor;0­4;­­
2015;Kvinnor;5­9;­­
2015;Kvinnor;10­14;5
2015;Kvinnor;15­19;14
2015;Kvinnor;20­24;24
2015;Kvinnor;25­29;17
2015;Kvinnor;30­34;31
2015;Kvinnor;35­39;22
2015;Kvinnor;40­44;20
2015;Kvinnor;45­49;24
2015;Kvinnor;50­54;35
2015;Kvinnor;55­59;28
2015;Kvinnor;60­64;24
2015;Kvinnor;65­69;31
2015;Kvinnor;70­74;20
2015;Kvinnor;75­79;14
2015;Kvinnor;80­84;9
2015;Kvinnor;85­89;6
2015;Kvinnor;90­94;8
2015;Kvinnor;95+;1
2014;Män;0­4;­­
2014;Män;5­9;­­
2014;Män;10­14;2
2014;Män;15­19;25
2014;Män;20­24;63
2014;Män;25­29;63
2014;Män;30­34;52
2014;Män;35­39;42
2014;Män;40­44;58
2014;Män;45­49;77
2014;Män;50­54;63
2014;Män;55­59;57
2014;Män;60­64;69
2014;Män;65­69;55
2014;Män;70­74;44
2014;Män;75­79;46
2014;Män;80­84;39
2014;Män;85­89;20
2014;Män;90­94;10
2014;Män;95+;4
2014;Kvinnor;0­4;­­
2014;Kvinnor;5­9;­­
2014;Kvinnor;10­14;4
2014;Kvinnor;15­19;15
2014;Kvinnor;20­24;21
2014;Kvinnor;25­29;24
2014;Kvinnor;30­34;18
2014;Kvinnor;35­39;22
2014;Kvinnor;40­44;26
2014;Kvinnor;45­49;43
2014;Kvinnor;50­54;44
2014;Kvinnor;55­59;29
2014;Kvinnor;60­64;24
2014;Kvinnor;65­69;30
2014;Kvinnor;70­74;19
2014;Kvinnor;75­79;13
2014;Kvinnor;80­84;13
2014;Kvinnor;85­89;13
2014;Kvinnor;90­94;6
2014;Kvinnor;95+;­­
2013;Män;0­4;­­
2013;Män;5­9;­­
2013;Män;10­14;3
2013;Män;15­19;27
2013;Män;20­24;72
2013;Män;25­29;61
2013;Män;30­34;51
2013;Män;35­39;50
2013;Män;40­44;58
2013;Män;45­49;71
2013;Män;50­54;88
2013;Män;55­59;74
2013;Män;60­64;78
2013;Män;65­69;73
2013;Män;70­74;49
2013;Män;75­79;47
2013;Män;80­84;27
2013;Män;85­89;29
2013;Män;90­94;6
2013;Män;95+;­­
2013;Kvinnor;0­4;­­
2013;Kvinnor;5­9;­­
2013;Kvinnor;10­14;1
2013;Kvinnor;15­19;15
2013;Kvinnor;20­24;33
2013;Kvinnor;25­29;27
2013;Kvinnor;30­34;19
2013;Kvinnor;35­39;20
2013;Kvinnor;40­44;35
2013;Kvinnor;45­49;33
2013;Kvinnor;50­54;30
2013;Kvinnor;55­59;24
2013;Kvinnor;60­64;30
2013;Kvinnor;65­69;32
2013;Kvinnor;70­74;21
2013;Kvinnor;75­79;14
2013;Kvinnor;80­84;15
2013;Kvinnor;85­89;14
2013;Kvinnor;90­94;4
2013;Kvinnor;95+;1
2012;Män;0­4;­­
2012;Män;5­9;­­
2012;Män;10­14;1
2012;Män;15­19;22
2012;Män;20­24;61
2012;Män;25­29;64
2012;Män;30­34;49
2012;Män;35­39;41
2012;Män;40­44;50
2012;Män;45­49;78
2012;Män;50­54;89
2012;Män;55­59;79
2012;Män;60­64;72
2012;Män;65­69;66
2012;Män;70­74;41
2012;Män;75­79;44
2012;Män;80­84;22
2012;Män;85­89;25
2012;Män;90­94;15
2012;Män;95+;2
2012;Kvinnor;0­4;­­
2012;Kvinnor;5­9;­­
2012;Kvinnor;10­14;4
2012;Kvinnor;15­19;10
2012;Kvinnor;20­24;24
2012;Kvinnor;25­29;10
2012;Kvinnor;30­34;17
2012;Kvinnor;35­39;23
2012;Kvinnor;40­44;26
2012;Kvinnor;45­49;35
2012;Kvinnor;50­54;56
2012;Kvinnor;55­59;22
2012;Kvinnor;60­64;30
2012;Kvinnor;65­69;24
2012;Kvinnor;70­74;13
2012;Kvinnor;75­79;12
2012;Kvinnor;80­84;17
2012;Kvinnor;85­89;8
2012;Kvinnor;90­94;4
2012;Kvinnor;95+;­­
2011;Män;0­4;­­
2011;Män;5­9;­­
2011;Män;10­14;3
2011;Män;15­19;35
2011;Män;20­24;50
2011;Män;25­29;55
2011;Män;30­34;52
2011;Män;35­39;51
2011;Män;40­44;62
2011;Män;45­49;74
2011;Män;50­54;76
2011;Män;55­59;81
2011;Män;60­64;72
2011;Män;65­69;53
2011;Män;70­74;37
2011;Män;75­79;36
2011;Män;80­84;30
2011;Män;85­89;16
2011;Män;90­94;4
2011;Män;95+;­­
2011;Kvinnor;0­4;­­
2011;Kvinnor;5­9;­­
2011;Kvinnor;10­14;2
2011;Kvinnor;15­19;21
2011;Kvinnor;20­24;15
2011;Kvinnor;25­29;19
2011;Kvinnor;30­34;27
2011;Kvinnor;35­39;21
2011;Kvinnor;40­44;28
2011;Kvinnor;45­49;22
2011;Kvinnor;50­54;32
2011;Kvinnor;55­59;21
2011;Kvinnor;60­64;32
2011;Kvinnor;65­69;27
2011;Kvinnor;70­74;18
2011;Kvinnor;75­79;13
2011;Kvinnor;80­84;14
2011;Kvinnor;85­89;6
2011;Kvinnor;90­94;5
2011;Kvinnor;95+;­­
2010;Män;0­4;­­
2010;Män;5­9;­­
2010;Män;10­14;1
2010;Män;15­19;31
2010;Män;20­24;56
2010;Män;25­29;55
2010;Män;30­34;51
2010;Män;35­39;43
2010;Män;40­44;61
2010;Män;45­49;82
2010;Män;50­54;93
2010;Män;55­59;74
2010;Män;60­64;81
2010;Män;65­69;69
2010;Män;70­74;38
2010;Män;75­79;28
2010;Män;80­84;39
2010;Män;85­89;25
2010;Män;90­94;6
2010;Män;95+;3
2010;Kvinnor;0­4;­­
2010;Kvinnor;5­9;­­
2010;Kvinnor;10­14;2
2010;Kvinnor;15­19;12
2010;Kvinnor;20­24;19
2010;Kvinnor;25­29;14
2010;Kvinnor;30­34;17
2010;Kvinnor;35­39;22
2010;Kvinnor;40­44;22
2010;Kvinnor;45­49;25
2010;Kvinnor;50­54;31
2010;Kvinnor;55­59;32
2010;Kvinnor;60­64;26
2010;Kvinnor;65­69;29
2010;Kvinnor;70­74;17
